"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:02pf9lLM8Nb8l4u4ts1GWb","My Nigga","spotify:artist:0A0FS04o6zMoto8OKPsDwY, spotify:artist:4yBK75WVCQXej1p04GWqxH, spotify:artist:5lHRUCqkQZCIWeX7xG4sYT","YG, Jeezy, Rich Homie Quan","spotify:album:4F6GGyqtJoF4EOxDgsKzsB","My Krazy Life (Deluxe)","spotify:artist:0A0FS04o6zMoto8OKPsDwY","YG","2014-01-01","https://i.scdn.co/image/ab67616d0000b273285717d8be1761dc136572b6","1","7","235600","","true","0","USUM71308285","spotify:user:1257158050","2017-10-08T23:46:27Z"
"spotify:track:1uDjaezEbalGyGnuH80zDK","Who Do You Love?","spotify:artist:0A0FS04o6zMoto8OKPsDwY, spotify:artist:3TVXtAsR1Inumwj472S9r4","YG, Drake","spotify:album:4F6GGyqtJoF4EOxDgsKzsB","My Krazy Life (Deluxe)","spotify:artist:0A0FS04o6zMoto8OKPsDwY","YG","2014-01-01","https://i.scdn.co/image/ab67616d0000b273285717d8be1761dc136572b6","1","10","233506","","true","0","USUM71400720","spotify:user:1257158050","2017-10-08T23:46:33Z"
"spotify:track:5A63MgoNPniM7necFglMhe","Twist My Fingaz","spotify:artist:0A0FS04o6zMoto8OKPsDwY","YG","spotify:album:4nwd6ernojhNIIRifDJoRz","Still Brazy (Deluxe)","spotify:artist:0A0FS04o6zMoto8OKPsDwY","YG","2016-06-17","https://i.scdn.co/image/ab67616d0000b273e2accda06ebadfe3014c161b","1","5","254520","","true","0","USUM71508196","spotify:user:1257158050","2017-10-08T23:46:50Z"
"spotify:track:6uIosJqe4IbrpRfYtQIy7K","Pick These Hoes Apart (feat. Kodak Black, Jeezy & French Montana)","spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:46SHBwWsqBkxI7EeeBEQG7, spotify:artist:4yBK75WVCQXej1p04GWqxH, spotify:artist:6vXTefBL93Dj5IqAWq6OTv","DJ Khaled, Kodak Black, Jeezy, French Montana","spotify:album:5qHyKDjwycRj1fJyPLt2HQ","Major Key","spotify:artist:0QHgL1lAIqAw0HtD7YldmP","DJ Khaled","2016-08-05","https://i.scdn.co/image/ab67616d0000b2738c624614f33197bace0e11c4","1","8","291425","https://p.scdn.co/mp3-preview/58f4588455021042d08498383617b46440162777?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","USSM11605483","spotify:user:1257158050","2017-10-09T20:13:47Z"
"spotify:track:2XdgSB4TtzUHQYCMfSHbFI","High End (feat. Future & Young Thug)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Chris Brown, Future, Young Thug","spotify:album:7dqvALdIFh6vXHBMBsbcf8","High End (feat. Future & Young Thug)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2017-10-13","https://i.scdn.co/image/ab67616d0000b273390976f0f0ab15edb8e52650","1","1","202213","","true","0","USRC11702532","spotify:user:1257158050","2017-10-14T00:23:38Z"
"spotify:track:55OdqrG8WLmsYyY1jijD9b","Wyclef Jean","spotify:artist:50co4Is1HCEo8bhOyUWKpn","Young Thug","spotify:album:7EpUpNUkkEGnaCvkcn1j4H","JEFFERY","spotify:artist:50co4Is1HCEo8bhOyUWKpn","Young Thug","2016-08-26","https://i.scdn.co/image/ab67616d0000b273d0c72291cd96834e199e1ff8","1","1","236293","https://p.scdn.co/mp3-preview/087bd9c6408446f438641ce34ef64805a3d8ae97?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USAT21602475","spotify:user:1257158050","2017-10-15T19:39:21Z"
"spotify:track:3H1JaS0NUNFjwVcJZ76SgC","Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)","spotify:artist:0NWbwDZY1VkRqFafuQm6wk, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:13y7CgLHjMVRMDqxdx0Xdo, spotify:artist:7iZtZyCzp3LItcw1wtPI3D","Mike WiLL Made-It, Kendrick Lamar, Gucci Mane, Rae Sremmurd","spotify:album:5qYNSJkYIbYL1IWsnQtBFK","Ransom 2","spotify:artist:0NWbwDZY1VkRqFafuQm6wk","Mike WiLL Made-It","2017-03-24","https://i.scdn.co/image/ab67616d0000b273e55826e1b3e0750f43690d5f","1","6","240926","","true","0","USUM71702230","spotify:user:1257158050","2017-10-15T20:49:56Z"
"spotify:track:2D68ESzWucbATnxeOrVqIA","On The Come Up (feat. Big Sean)","spotify:artist:0NWbwDZY1VkRqFafuQm6wk, spotify:artist:0c173mlxpT3dSFRgMO8XPh","Mike WiLL Made-It, Big Sean","spotify:album:5qYNSJkYIbYL1IWsnQtBFK","Ransom 2","spotify:artist:0NWbwDZY1VkRqFafuQm6wk","Mike WiLL Made-It","2017-03-24","https://i.scdn.co/image/ab67616d0000b273e55826e1b3e0750f43690d5f","1","1","235885","","true","0","USUM71601939","spotify:user:1257158050","2017-10-15T20:50:07Z"
"spotify:track:3a1lNhkSLSkpJE4MSHpDu9","Congratulations","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:0VRj0yCOv2FXJNP47XQnx5","Post Malone, Quavo","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney (Deluxe)","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","12","220293","https://p.scdn.co/mp3-preview/d714258e0a38a47a46cc56787e0fa02ce3930d15?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USUM71614484","spotify:user:1257158050","2017-10-15T20:50:26Z"
"spotify:track:7wGoVu4Dady5GV0Sv4UIsx","rockstar","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:4AabsQ6plH3OmdE6BWI04j","rockstar","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2017-09-15","https://i.scdn.co/image/ab67616d0000b273345f823b6c1dbd3b4cc7b382","1","1","218320","","true","1","USUM71710087","spotify:user:1257158050","2017-10-15T20:51:22Z"
