"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0SbMdEc3vUpYyG7Od1Outj","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","spotify:album:7IymIe6TAiOWhAKRgFOAPw","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","2008-01-01","https://i.scdn.co/image/ab67616d0000b2732da2d2cfc369d2d4c96d7bee","1","1","196346","https://p.scdn.co/mp3-preview/a21bd2feedf60140b9e163aa037bd285adb5e896?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","AUEI10800039","spotify:user:olivia.28","2019-01-30T21:07:52Z"
"spotify:track:56NkIxSZZiMpFP5ZNSxtnT","Someday","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2yNaksHgeMQM9Quse463b5","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b273a388a3f20d1bf2123249cc79","1","5","183573","https://p.scdn.co/mp3-preview/241189aa54503d502d3e06cf6996a87a27f73a81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC10100769","spotify:user:olivia.28","2019-01-30T21:07:57Z"
"spotify:track:6PZDPg3dZgJkNL6nVMUB4b","Little Bit","spotify:artist:6oBm8HB0yfrIc9IHbxs6in","Lykke Li","spotify:album:6zBW3pmU291VbFHq4EdU8C","Youth Novels","spotify:artist:6oBm8HB0yfrIc9IHbxs6in","Lykke Li","2008-01-28","https://i.scdn.co/image/ab67616d0000b2731395b8b9e9fb3f8d7039f77d","1","7","273426","https://p.scdn.co/mp3-preview/5d4f81ec7feedc63655b1fa2901a2a73aadf67cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","SEVUM0700701","spotify:user:olivia.28","2019-01-30T21:08:57Z"
"spotify:track:2lwwrWVKdf3LR9lbbhnr6R","Float On","spotify:artist:1yAwtBaoHLEDWAnWR87hBT","Modest Mouse","spotify:album:0TGTGuc2vXv6ZECoAf52N0","Good News For People Who Love Bad News","spotify:artist:1yAwtBaoHLEDWAnWR87hBT","Modest Mouse","2004-04-05","https://i.scdn.co/image/ab67616d0000b273cc68329bfbf34037df965dc1","1","3","208466","https://p.scdn.co/mp3-preview/9241188a00b7ae5feb607bf10c21a067c83ed487?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USSM10315494","spotify:user:olivia.28","2019-01-30T21:09:20Z"
"spotify:track:4AyoAGuhE8gydBPrczuhbl","Trojans","spotify:artist:42vg2T0Xg9yPaAgogJzoQH","Atlas Genius","spotify:album:5Ix8zXCxsX8YCGAThyBVE8","When It Was Now (Deluxe Edition)","spotify:artist:42vg2T0Xg9yPaAgogJzoQH","Atlas Genius","2013-02-19","https://i.scdn.co/image/ab67616d0000b273ef8c68f5e72ee8cbb0a8319a","1","4","217386","https://p.scdn.co/mp3-preview/559baa9247e773ff05e24f1381a72340f9a9a427?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USWB11300017","spotify:user:olivia.28","2019-01-30T21:11:42Z"
"spotify:track:01nkjRsgpYwtbH94l7y4cg","Itchin' on a Photograph","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","spotify:album:3oylWMc9TTC6Nx4I6U3axc","Never Trust a Happy Song","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","2011-09-02","https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b","1","1","259506","https://p.scdn.co/mp3-preview/85a993f691c6c16ec46cb9ecea7a7a2407e6bd23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USAT21101074","spotify:user:olivia.28","2019-01-30T21:12:32Z"
"spotify:track:1jJci4qxiYcOHhQR247rEU","Kids","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","5","302840","https://p.scdn.co/mp3-preview/efb065069d22384206b0fc703c6f99734d33411d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM10702135","spotify:user:olivia.28","2019-01-30T21:12:38Z"
"spotify:track:5dKBaysNJtfpyNTRa5lqDb","A-Punk","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","spotify:album:5oXBmKbyJeQftWMo87cQ9F","Vampire Weekend","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","2008-01-27","https://i.scdn.co/image/ab67616d0000b27301e2ebfbf4f8147621c8a866","1","3","137760","","false","0","GBBKS0700527","spotify:user:olivia.28","2019-01-30T21:09:24Z"
"spotify:track:573latfTMO7SpGtStVrQx5","Harlem","spotify:artist:3RbyaF3Pq6iDUKNp04AIcU","New Politics","spotify:album:2pKVER4FshWhYv6yk8uIbI","A Bad Girl In Harlem","spotify:artist:3RbyaF3Pq6iDUKNp04AIcU","New Politics","2013-05-17","https://i.scdn.co/image/ab67616d0000b273fd910d582980afe314abb0b8","1","2","163626","https://p.scdn.co/mp3-preview/061bd3da7136e5651a0e9e6e496e1cc54b8aa03c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USRC11201574","spotify:user:olivia.28","2019-01-30T21:13:00Z"
"spotify:track:5qEn8c0MBzyRKgQq91Vevi","Out of My League","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","spotify:album:5MAlo86ggKHtumwFZPdii2","Out of My League","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","2013-02-08","https://i.scdn.co/image/ab67616d0000b273504eb0a2e404c1e538cc6c29","1","1","209386","https://p.scdn.co/mp3-preview/d50d8b3ce46da19a8f6b63539be7a10faee9a569?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USAT21300149","spotify:user:olivia.28","2019-01-30T21:14:04Z"
"spotify:track:7ueP5u2qkdZbIPN2YA6LR0","Sail","spotify:artist:4njdEjTnLfcGImKZu1iSrz","AWOLNATION","spotify:album:1fag8cnc5p4Umu4tRMAsLv","Megalithic Symphony","spotify:artist:4njdEjTnLfcGImKZu1iSrz","AWOLNATION","2011-03-15","https://i.scdn.co/image/ab67616d0000b27332f1572738340ddc9569c54b","1","10","259093","https://p.scdn.co/mp3-preview/f14574baf46e2fb574059f16f9d4e94774bd00b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USP6L1000053","spotify:user:olivia.28","2019-01-30T21:16:12Z"
"spotify:track:4iG2gAwKXsOcijVaVXzRPW","Time to Pretend","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","1","261000","https://p.scdn.co/mp3-preview/7f430e9ee8be92d4582b741f465fd38cece48ed5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USSM10702127","spotify:user:olivia.28","2019-01-30T21:14:41Z"
"spotify:track:4VbDJMkAX3dWNBdn3KH6Wx","Helena Beat","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","spotify:album:7Kmmw7Z5D2UD5MVwdm10sT","Torches","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","2011-05-23","https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5","1","1","276173","https://p.scdn.co/mp3-preview/3e9398063b1dcd2dd3d2c1e4ff57284022a0981f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM11005693","spotify:user:olivia.28","2019-01-30T21:15:12Z"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:4p9dVvZDaZliSjTCbFRhJy","My Head Is An Animal","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262","1","6","266600","https://p.scdn.co/mp3-preview/a5dad05d521739606a83da0f00d3dc48344c6d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USUM71119106","spotify:user:olivia.28","2019-01-30T21:15:22Z"
"spotify:track:3dOAXUx7I1qnzWzxdnsyB8","Lonely Boy","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:2uGi7bQZU5My0k1UGJQRz2","Lonely Boy","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2011-10-26","https://i.scdn.co/image/ab67616d0000b273072a173e9323f3bdf1d254d6","1","1","193653","https://p.scdn.co/mp3-preview/cb384c17027f77dd419356db04186415edea2b90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USNO11100273","spotify:user:olivia.28","2019-01-30T21:16:29Z"
"spotify:track:46iI0binWzpkEJgIWTYUBR","Gold on the Ceiling","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:4wLY5WOlblr9hgTSNQuf5M","Gold on the Ceiling","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2012-01-24","https://i.scdn.co/image/ab67616d0000b27340b8ad008e62f33630521eae","1","1","224333","https://p.scdn.co/mp3-preview/fb86bf4a03ad45e4e0d3b74f537ea811c60b4ccf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USNO11100275","spotify:user:olivia.28","2019-01-30T21:16:32Z"
"spotify:track:2MVwrvjmcdt4MsYYLCYMt8","Tighten Up","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:7qE6RXYyz5kj5Tll7mJU0v","Brothers","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2010-05-18","https://i.scdn.co/image/ab67616d0000b2734cf61635ecdee5d4c4ef2bac","1","3","211080","https://p.scdn.co/mp3-preview/dd1645df2f28d473b8a50735acfd95f28e71bdfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USNO11000078","spotify:user:olivia.28","2019-01-30T21:16:38Z"
"spotify:track:0VnLohgzwLEleLmo19Z8B0","Go Outside","spotify:artist:3Oim8XBPbznAa8Jj8QzNc8","Cults","spotify:album:2jb0zRewft3L2AwCOMx3du","Cults","spotify:artist:3Oim8XBPbznAa8Jj8QzNc8","Cults","2011-06-07","https://i.scdn.co/image/ab67616d0000b2734749b97a4d57410e90ac7898","1","2","204400","https://p.scdn.co/mp3-preview/efba13c8c372fbf611fa2a9eb84962658375ef8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBARL1100052","spotify:user:olivia.28","2019-01-30T21:17:04Z"
"spotify:track:3bbdnFcNSHPaYrOzx7dJeE","Lisztomania","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:7bJTscIEKaObZS61RmpviI","Wolfgang Amadeus Phoenix","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2009-05-12","https://i.scdn.co/image/ab67616d0000b27316a0851b0e1698e226148d3f","1","1","241546","","false","0","FR31Q0900001","spotify:user:olivia.28","2019-01-30T21:17:09Z"
"spotify:track:3ItzRpwvKtkDSNdRSjXu7Z","Chelsea Dagger","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6R6pjR9ocMYuqSuNx5e4mg","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2007-01-01","https://i.scdn.co/image/ab67616d0000b27390b7c466e878862b5a9cece3","1","4","215173","https://p.scdn.co/mp3-preview/baaaa93603f19c04f4b32a1f00596e5e64e6fccb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBUM70601571","spotify:user:olivia.28","2019-01-30T21:11:59Z"
"spotify:track:714hCtOiQPPUCjNGV8kz7J","Help I'm Alive","spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Metric","spotify:album:2wx95OdyKPntJDvEQkjtq5","Fantasies","spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Metric","2009-04-26","https://i.scdn.co/image/ab67616d0000b273d632fa91ce48f83a17f79583","1","1","286240","","false","0","CARB70901901","spotify:user:olivia.28","2019-01-30T21:17:49Z"
